{52.41727}(-0.07, 0.97, -3.18),(0.04406, 0.09765, 0.00755, -0.99422)|(-0.08, 1.54, -3.13),(0.14684, -0.04735, 0.00231, 0.98802)|(-0.07, 1.35, -3.17),(-0.11160, 0.04932, -0.01105, -0.99247)|(-0.08, 1.62, -3.10),(-0.21529, 0.13661, 0.03220, -0.96641)|(-0.20, 0.96, -3.21),(-0.06902, -0.29363, -0.05772, 0.95168)|(-0.27, 0.52, -3.16),(0.09338, 0.16456, -0.06335, 0.97989)|(-0.35, 0.10, -3.23),(-0.09383, 0.33721, -0.04995, 0.93541)|(0.05, 0.97, -3.16),(-0.09209, 0.08179, 0.01585, 0.99226)|(0.08, 0.53, -3.08),(0.11320, 0.27346, -0.02446, 0.95489)|(0.05, 0.13, -3.16),(-0.09498, 0.24401, -0.05488, -0.96355)|(-0.11, 1.48, -3.14),(-0.11920, 0.02196, -0.01965, -0.99243)|(-0.27, 1.48, -3.15),(0.02036, 0.10427, -0.58805, -0.80181)|(-0.35, 1.21, -3.19),(-0.38511, 0.42493, 0.44865, 0.68544)|(-0.41, 1.14, -2.95),(-0.27896, 0.17848, 0.76714, 0.54939)|(-0.05, 1.48, -3.14),(0.08657, -0.09590, -0.04033, 0.99080)|(0.11, 1.47, -3.11),(-0.11285, 0.24925, 0.62548, -0.73070)|(0.13, 1.20, -3.04),(0.09828, 0.39543, 0.60334, -0.68553)|(0.12, 1.00, -2.87),(-0.09680, -0.49627, -0.43401, 0.74564)|
{52.43396}(-0.07, 0.97, -3.18),(0.04426, 0.09791, 0.00749, -0.99418)|(-0.08, 1.54, -3.13),(0.14699, -0.04751, 0.00231, 0.98799)|(-0.07, 1.35, -3.17),(-0.11137, 0.04948, -0.01101, -0.99249)|(-0.08, 1.62, -3.10),(-0.21619, 0.13732, 0.03236, -0.96610)|(-0.20, 0.96, -3.21),(-0.06861, -0.29365, -0.05763, 0.95170)|(-0.27, 0.52, -3.16),(0.09336, 0.16449, -0.06346, 0.97990)|(-0.35, 0.10, -3.23),(-0.09382, 0.33712, -0.04995, 0.93544)|(0.05, 0.97, -3.16),(-0.09170, 0.08174, 0.01574, 0.99230)|(0.08, 0.53, -3.08),(0.11330, 0.27340, -0.02446, 0.95489)|(0.05, 0.13, -3.16),(-0.09495, 0.24406, -0.05494, -0.96353)|(-0.11, 1.48, -3.14),(-0.11909, 0.02231, -0.01963, -0.99244)|(-0.27, 1.48, -3.15),(0.02259, 0.10587, -0.58624, -0.80288)|(-0.35, 1.21, -3.19),(-0.38799, 0.42231, 0.44925, 0.68505)|(-0.41, 1.14, -2.95),(-0.28228, 0.17240, 0.77124, 0.54386)|(-0.05, 1.48, -3.14),(0.08654, -0.09616, -0.04059, 0.99077)|(0.11, 1.47, -3.11),(-0.11312, 0.24969, 0.62566, -0.73035)|(0.13, 1.20, -3.04),(0.09770, 0.39486, 0.60254, -0.68664)|(0.12, 1.00, -2.87),(-0.09463, -0.49686, -0.43162, 0.74691)|
{52.48396}(-0.07, 0.97, -3.18),(0.04425, 0.09800, 0.00749, -0.99417)|(-0.08, 1.54, -3.13),(0.14711, -0.04761, 0.00232, 0.98797)|(-0.07, 1.35, -3.17),(-0.11130, 0.04958, -0.01100, -0.99249)|(-0.08, 1.62, -3.10),(-0.21669, 0.13762, 0.03242, -0.96595)|(-0.20, 0.96, -3.21),(-0.06840, -0.29374, -0.05760, 0.95170)|(-0.27, 0.52, -3.16),(0.09336, 0.16442, -0.06348, 0.97991)|(-0.35, 0.10, -3.23),(-0.09382, 0.33708, -0.04994, 0.93546)|(0.05, 0.97, -3.16),(-0.09153, 0.08173, 0.01572, 0.99232)|(0.08, 0.53, -3.08),(0.11338, 0.27336, -0.02447, 0.95489)|(0.05, 0.13, -3.16),(-0.09493, 0.24410, -0.05497, -0.96353)|(-0.11, 1.48, -3.14),(-0.11896, 0.02255, -0.01966, -0.99245)|(-0.27, 1.48, -3.15),(0.02344, 0.10656, -0.58561, -0.80322)|(-0.35, 1.21, -3.19),(-0.38915, 0.42106, 0.44938, 0.68507)|(-0.41, 1.14, -2.95),(-0.28521, 0.16926, 0.77286, 0.54101)|(-0.05, 1.48, -3.14),(0.08651, -0.09621, -0.04069, 0.99076)|(0.11, 1.47, -3.11),(-0.11322, 0.24988, 0.62579, -0.73016)|(0.13, 1.20, -3.04),(0.09744, 0.39442, 0.60212, -0.68731)|(0.13, 1.00, -2.87),(-0.09382, -0.49722, -0.43032, 0.74752)|
{52.50061}(-0.07, 0.97, -3.18),(0.04408, 0.09814, 0.00753, -0.99417)|(-0.08, 1.54, -3.13),(0.14745, -0.04774, 0.00236, 0.98791)|(-0.07, 1.35, -3.17),(-0.11117, 0.04973, -0.01101, -0.99250)|(-0.08, 1.62, -3.10),(-0.21795, 0.13813, 0.03253, -0.96559)|(-0.20, 0.96, -3.21),(-0.06815, -0.29395, -0.05760, 0.95165)|(-0.27, 0.52, -3.16),(0.09341, 0.16429, -0.06350, 0.97992)|(-0.35, 0.10, -3.23),(-0.09382, 0.33697, -0.04995, 0.93550)|(0.05, 0.97, -3.16),(-0.09123, 0.08168, 0.01570, 0.99235)|(0.08, 0.53, -3.08),(0.11357, 0.27329, -0.02451, 0.95489)|(0.05, 0.13, -3.16),(-0.09489, 0.24416, -0.05504, -0.96351)|(-0.11, 1.48, -3.14),(-0.11844, 0.02318, -0.01988, -0.99249)|(-0.27, 1.48, -3.15),(0.02439, 0.10795, -0.58473, -0.80365)|(-0.35, 1.21, -3.19),(-0.39141, 0.41851, 0.44971, 0.68514)|(-0.41, 1.14, -2.95),(-0.29176, 0.16417, 0.77573, 0.53495)|(-0.05, 1.48, -3.14),(0.08646, -0.09626, -0.04090, 0.99075)|(0.11, 1.47, -3.11),(-0.11318, 0.24991, 0.62589, -0.73007)|(0.13, 1.20, -3.04),(0.09704, 0.39346, 0.60132, -0.68861)|(0.13, 1.00, -2.87),(-0.09236, -0.49786, -0.42842, 0.74837)|
{52.51729}(-0.07, 0.97, -3.18),(0.04394, 0.09825, 0.00755, -0.99416)|(-0.08, 1.54, -3.13),(0.14758, -0.04778, 0.00240, 0.98789)|(-0.07, 1.35, -3.17),(-0.11105, 0.04978, -0.01106, -0.99251)|(-0.08, 1.62, -3.10),(-0.21858, 0.13826, 0.03259, -0.96542)|(-0.20, 0.96, -3.21),(-0.06808, -0.29408, -0.05761, 0.95161)|(-0.27, 0.52, -3.16),(0.09348, 0.16425, -0.06352, 0.97992)|(-0.35, 0.10, -3.23),(-0.09381, 0.33691, -0.04997, 0.93552)|(0.05, 0.97, -3.16),(-0.09113, 0.08163, 0.01572, 0.99236)|(0.08, 0.53, -3.08),(0.11369, 0.27323, -0.02453, 0.95489)|(0.05, 0.13, -3.16),(-0.09487, 0.24422, -0.05507, -0.96350)|(-0.11, 1.48, -3.14),(-0.11810, 0.02356, -0.02007, -0.99252)|(-0.27, 1.48, -3.15),(0.02485, 0.10886, -0.58434, -0.80379)|(-0.35, 1.21, -3.19),(-0.39281, 0.41718, 0.45018, 0.68483)|(-0.41, 1.14, -2.95),(-0.29538, 0.16215, 0.77711, 0.53157)|(-0.05, 1.48, -3.14),(0.08643, -0.09628, -0.04102, 0.99075)|(0.11, 1.47, -3.11),(-0.11313, 0.24990, 0.62590, -0.73007)|(0.13, 1.20, -3.04),(0.09685, 0.39301, 0.60104, -0.68914)|(0.13, 1.00, -2.87),(-0.09180, -0.49805, -0.42808, 0.74851)|
{52.53395}(-0.07, 0.97, -3.18),(0.04346, 0.09862, 0.00749, -0.99415)|(-0.08, 1.54, -3.13),(0.14778, -0.04773, 0.00251, 0.98786)|(-0.07, 1.35, -3.17),(-0.11079, 0.04976, -0.01127, -0.99253)|(-0.08, 1.62, -3.10),(-0.21966, 0.13829, 0.03280, -0.96517)|(-0.20, 0.96, -3.21),(-0.06799, -0.29441, -0.05764, 0.95151)|(-0.27, 0.52, -3.16),(0.09363, 0.16419, -0.06359, 0.97991)|(-0.35, 0.10, -3.23),(-0.09379, 0.33680, -0.05001, 0.93556)|(0.05, 0.97, -3.16),(-0.09091, 0.08142, 0.01580, 0.99240)|(0.08, 0.53, -3.08),(0.11385, 0.27310, -0.02458, 0.95491)|(0.05, 0.13, -3.16),(-0.09484, 0.24434, -0.05512, -0.96347)|(-0.11, 1.48, -3.14),(-0.11752, 0.02416, -0.02058, -0.99256)|(-0.27, 1.48, -3.15),(0.02596, 0.11100, -0.58364, -0.80397)|(-0.35, 1.21, -3.19),(-0.39661, 0.41473, 0.45204, 0.68291)|(-0.41, 1.14, -2.95),(-0.30460, 0.15561, 0.78200, 0.52104)|(-0.05, 1.49, -3.14),(0.08636, -0.09633, -0.04116, 0.99074)|(0.11, 1.47, -3.11),(-0.11290, 0.24976, 0.62555, -0.73045)|(0.13, 1.20, -3.04),(0.09592, 0.39241, 0.60067, -0.68994)|(0.13, 1.00, -2.87),(-0.08994, -0.49865, -0.42825, 0.74824)|
{52.55062}(-0.07, 0.97, -3.18),(0.04280, 0.09913, 0.00732, -0.99413)|(-0.08, 1.54, -3.13),(0.14779, -0.04775, 0.00256, 0.98786)|(-0.07, 1.35, -3.17),(-0.11054, 0.04984, -0.01160, -0.99255)|(-0.08, 1.62, -3.10),(-0.22012, 0.13788, 0.03316, -0.96511)|(-0.20, 0.96, -3.21),(-0.06783, -0.29488, -0.05770, 0.95138)|(-0.27, 0.52, -3.16),(0.09370, 0.16404, -0.06365, 0.97993)|(-0.35, 0.10, -3.23),(-0.09376, 0.33669, -0.05007, 0.93560)|(0.05, 0.97, -3.16),(-0.09066, 0.08100, 0.01586, 0.99246)|(0.08, 0.53, -3.08),(0.11398, 0.27296, -0.02467, 0.95493)|(0.05, 0.13, -3.16),(-0.09482, 0.24447, -0.05514, -0.96343)|(-0.11, 1.48, -3.14),(-0.11717, 0.02460, -0.02122, -0.99258)|(-0.27, 1.48, -3.15),(0.02692, 0.11286, -0.58318, -0.80402)|(-0.35, 1.21, -3.19),(-0.40080, 0.41336, 0.45470, 0.67951)|(-0.41, 1.14, -2.95),(-0.31411, 0.14708, 0.78742, 0.50957)|(-0.05, 1.49, -3.14),(0.08630, -0.09644, -0.04105, 0.99074)|(0.11, 1.47, -3.11),(-0.11289, 0.24966, 0.62484, -0.73109)|(0.14, 1.20, -3.04),(0.09348, 0.39313, 0.60049, -0.69001)|(0.13, 1.00, -2.87),(-0.08724, -0.49994, -0.42835, 0.74764)|
{52.56727}(-0.07, 0.97, -3.18),(0.04251, 0.09934, 0.00723, -0.99412)|(-0.08, 1.54, -3.13),(0.14774, -0.04784, 0.00258, 0.98787)|(-0.07, 1.35, -3.17),(-0.11048, 0.04997, -0.01182, -0.99255)|(-0.08, 1.62, -3.10),(-0.22009, 0.13747, 0.03339, -0.96517)|(-0.20, 0.96, -3.21),(-0.06775, -0.29510, -0.05772, 0.95131)|(-0.27, 0.52, -3.16),(0.09371, 0.16396, -0.06367, 0.97994)|(-0.35, 0.10, -3.23),(-0.09375, 0.33664, -0.05010, 0.93562)|(0.05, 0.97, -3.16),(-0.09053, 0.08076, 0.01588, 0.99249)|(0.08, 0.53, -3.08),(0.11403, 0.27288, -0.02473, 0.95495)|(0.05, 0.13, -3.16),(-0.09482, 0.24455, -0.05515, -0.96341)|(-0.11, 1.48, -3.14),(-0.11709, 0.02482, -0.02156, -0.99258)|(-0.27, 1.48, -3.15),(0.02712, 0.11355, -0.58301, -0.80403)|(-0.35, 1.21, -3.19),(-0.40238, 0.41315, 0.45581, 0.67796)|(-0.41, 1.14, -2.95),(-0.31888, 0.14309, 0.78955, 0.50444)|(-0.05, 1.49, -3.14),(0.08632, -0.09659, -0.04081, 0.99073)|(0.11, 1.47, -3.11),(-0.11308, 0.24966, 0.62417, -0.73164)|(0.14, 1.20, -3.04),(0.09214, 0.39372, 0.60039, -0.68994)|(0.13, 1.00, -2.87),(-0.08573, -0.50080, -0.42824, 0.74730)|
{52.58396}(-0.07, 0.97, -3.18),(0.04206, 0.09975, 0.00708, -0.99410)|(-0.08, 1.54, -3.13),(0.14759, -0.04807, 0.00257, 0.98788)|(-0.07, 1.35, -3.17),(-0.11044, 0.05028, -0.01227, -0.99253)|(-0.08, 1.62, -3.10),(-0.21965, 0.13632, 0.03383, -0.96541)|(-0.20, 0.96, -3.21),(-0.06756, -0.29551, -0.05780, 0.95119)|(-0.27, 0.52, -3.16),(0.09372, 0.16383, -0.06367, 0.97996)|(-0.35, 0.10, -3.23),(-0.09374, 0.33651, -0.05017, 0.93566)|(0.05, 0.97, -3.16),(-0.09030, 0.08036, 0.01584, 0.99254)|(0.08, 0.53, -3.08),(0.11412, 0.27273, -0.02485, 0.95497)|(0.05, 0.13, -3.16),(-0.09481, 0.24469, -0.05517, -0.96338)|(-0.11, 1.48, -3.14),(-0.11710, 0.02528, -0.02217, -0.99255)|(-0.27, 1.48, -3.15),(0.02678, 0.11442, -0.58282, -0.80406)|(-0.35, 1.21, -3.19),(-0.40381, 0.41473, 0.45735, 0.67510)|(-0.41, 1.14, -2.95),(-0.32561, 0.13965, 0.79062, 0.49939)|(-0.05, 1.49, -3.13),(0.08650, -0.09708, -0.04014, 0.99070)|(0.11, 1.47, -3.10),(-0.11359, 0.24976, 0.62312, -0.73242)|(0.14, 1.20, -3.04),(0.08886, 0.39546, 0.59990, -0.68981)|(0.13, 1.00, -2.87),(-0.08310, -0.50252, -0.42763, 0.74680)|
{52.60061}(-0.07, 0.97, -3.18),(0.04161, 0.10005, 0.00694, -0.99409)|(-0.08, 1.54, -3.12),(0.14741, -0.04836, 0.00260, 0.98789)|(-0.07, 1.35, -3.17),(-0.11049, 0.05065, -0.01277, -0.99250)|(-0.08, 1.62, -3.10),(-0.21901, 0.13464, 0.03408, -0.96579)|(-0.20, 0.96, -3.21),(-0.06747, -0.29569, -0.05785, 0.95114)|(-0.27, 0.52, -3.16),(0.09377, 0.16370, -0.06368, 0.97998)|(-0.35, 0.10, -3.23),(-0.09373, 0.33640, -0.05022, 0.93570)|(0.05, 0.97, -3.16),(-0.09011, 0.08014, 0.01579, 0.99258)|(0.08, 0.53, -3.08),(0.11423, 0.27260, -0.02497, 0.95500)|(0.05, 0.13, -3.16),(-0.09481, 0.24481, -0.05519, -0.96335)|(-0.11, 1.48, -3.14),(-0.11729, 0.02581, -0.02271, -0.99250)|(-0.27, 1.48, -3.15),(0.02597, 0.11502, -0.58286, -0.80398)|(-0.35, 1.21, -3.19),(-0.40314, 0.41737, 0.45743, 0.67383)|(-0.41, 1.14, -2.95),(-0.32985, 0.14369, 0.78850, 0.49882)|(-0.05, 1.49, -3.13),(0.08678, -0.09770, -0.03949, 0.99064)|(0.11, 1.47, -3.10),(-0.11475, 0.25041, 0.62192, -0.73304)|(0.14, 1.20, -3.04),(0.08649, 0.39667, 0.59921, -0.69001)|(0.13, 1.00, -2.87),(-0.08111, -0.50365, -0.42716, 0.74652)|
