{0}(5.59, 0.91, -3.97),(-0.26711, 0.32820, -0.20767, -0.88194)|(5.30, 1.40, -3.91),(0.13393, -0.65485, 0.20243, 0.71572)|(5.39, 1.23, -3.89),(0.13529, -0.65318, 0.22571, 0.71000)|(5.26, 1.48, -3.92),(0.10724, -0.56845, 0.17333, 0.79707)|(5.61, 0.92, -4.06),(0.04060, 0.79095, 0.25715, -0.55373)|(5.47, 0.53, -4.22),(0.11009, -0.23171, -0.07898, 0.96330)|(5.52, 0.15, -4.34),(-0.16775, 0.70354, -0.08937, -0.68477)|(5.56, 0.90, -3.88),(0.31519, 0.41612, 0.00461, -0.85292)|(5.42, 0.54, -3.63),(-0.02598, 0.47062, -0.18479, -0.86237)|(5.47, 0.12, -3.57),(0.04199, 0.56342, -0.17080, -0.80723)|(5.32, 1.35, -3.94),(0.14694, -0.59615, 0.28001, 0.73798)|(5.30, 1.31, -4.09),(0.30617, 0.33176, -0.49046, -0.74542)|(5.22, 1.05, -4.14),(0.37828, -0.02528, -0.37292, -0.84687)|(5.03, 0.89, -4.06),(-0.36068, 0.33379, 0.14882, 0.85811)|(5.33, 1.35, -3.88),(-0.17045, 0.58169, -0.26788, -0.74888)|(5.36, 1.39, -3.72),(0.36710, -0.69758, -0.19575, 0.58336)|(5.34, 1.18, -3.53),(-0.24354, 0.84203, 0.42066, -0.23391)|(5.14, 1.02, -3.49),(-0.25695, 0.85328, 0.38040, -0.24736)|
{0.01665}(5.58, 0.91, -3.97),(-0.26568, 0.33433, -0.20935, -0.87966)|(5.29, 1.40, -3.92),(0.13018, -0.65867, 0.20222, 0.71296)|(5.38, 1.23, -3.90),(0.13616, -0.65559, 0.22798, 0.70689)|(5.25, 1.47, -3.92),(0.09803, -0.58865, 0.16451, 0.78538)|(5.61, 0.91, -4.06),(0.04019, 0.79657, 0.26000, -0.54430)|(5.47, 0.53, -4.23),(0.11087, -0.23888, -0.07701, 0.96162)|(5.52, 0.15, -4.34),(-0.16592, 0.70822, -0.09138, -0.68010)|(5.55, 0.90, -3.88),(0.31115, 0.42377, -0.00082, -0.85065)|(5.41, 0.53, -3.64),(-0.01962, 0.47953, -0.19435, -0.85551)|(5.47, 0.12, -3.57),(0.04862, 0.56909, -0.17954, -0.80096)|(5.31, 1.34, -3.94),(0.14686, -0.59852, 0.28072, 0.73580)|(5.29, 1.31, -4.10),(0.30802, 0.32486, -0.49298, -0.74603)|(5.21, 1.04, -4.15),(0.37919, -0.02322, -0.37800, -0.84427)|(5.02, 0.88, -4.06),(-0.36308, 0.33168, 0.15650, 0.85655)|(5.32, 1.35, -3.88),(-0.16979, 0.58444, -0.26963, -0.74626)|(5.34, 1.39, -3.73),(0.36952, -0.70329, -0.19163, 0.57630)|(5.33, 1.18, -3.54),(-0.25961, 0.83838, 0.41600, -0.23803)|(5.13, 1.01, -3.49),(-0.26801, 0.85256, 0.37715, -0.24306)|
{0.0833327}(5.58, 0.91, -3.97),(-0.26530, 0.33647, -0.20966, -0.87889)|(5.28, 1.40, -3.92),(0.12870, -0.65989, 0.20167, 0.71226)|(5.38, 1.23, -3.90),(0.13631, -0.65631, 0.22831, 0.70608)|(5.25, 1.47, -3.93),(0.09475, -0.59619, 0.16088, 0.78083)|(5.61, 0.91, -4.06),(0.03997, 0.79774, 0.26038, -0.54241)|(5.47, 0.53, -4.23),(0.11109, -0.24148, -0.07596, 0.96103)|(5.52, 0.15, -4.34),(-0.16539, 0.70990, -0.09177, -0.67844)|(5.55, 0.90, -3.88),(0.31030, 0.42580, -0.00206, -0.84994)|(5.41, 0.53, -3.64),(-0.01762, 0.48185, -0.19639, -0.85378)|(5.47, 0.12, -3.57),(0.04979, 0.57000, -0.18098, -0.79991)|(5.31, 1.34, -3.94),(0.14678, -0.59961, 0.28081, 0.73490)|(5.29, 1.31, -4.10),(0.30826, 0.32380, -0.49338, -0.74613)|(5.21, 1.04, -4.15),(0.37932, -0.02255, -0.37948, -0.84357)|(5.02, 0.88, -4.06),(-0.36382, 0.33102, 0.15828, 0.85616)|(5.31, 1.35, -3.89),(-0.16956, 0.58547, -0.26997, -0.74538)|(5.34, 1.39, -3.73),(0.37048, -0.70443, -0.19086, 0.57454)|(5.32, 1.18, -3.54),(-0.26283, 0.83774, 0.41479, -0.23889)|(5.13, 1.01, -3.50),(-0.27123, 0.85252, 0.37582, -0.24168)|
{0.1000052}(5.57, 0.91, -3.97),(-0.26487, 0.33912, -0.20997, -0.87793)|(5.28, 1.40, -3.92),(0.12745, -0.66178, 0.20120, 0.71086)|(5.38, 1.23, -3.90),(0.13673, -0.65769, 0.22879, 0.70456)|(5.24, 1.47, -3.93),(0.09147, -0.60366, 0.15722, 0.77621)|(5.60, 0.91, -4.06),(0.03962, 0.79897, 0.26069, -0.54048)|(5.47, 0.53, -4.23),(-0.11130, 0.24409, 0.07491, -0.96043)|(5.52, 0.15, -4.34),(0.16471, -0.71154, 0.09226, 0.67681)|(5.55, 0.90, -3.88),(0.30931, 0.42709, -0.00300, -0.84966)|(5.41, 0.53, -3.65),(-0.01543, 0.48415, -0.19816, -0.85211)|(5.47, 0.12, -3.57),(0.05112, 0.57094, -0.18251, -0.79882)|(5.31, 1.34, -3.94),(0.14671, -0.60098, 0.28083, 0.73378)|(5.29, 1.31, -4.10),(0.30854, 0.32259, -0.49389, -0.74620)|(5.20, 1.04, -4.15),(0.37936, -0.02178, -0.38095, -0.84291)|(5.02, 0.88, -4.06),(-0.36473, 0.33018, 0.16057, 0.85567)|(5.31, 1.35, -3.89),(-0.16919, 0.58693, -0.27036, -0.74417)|(5.34, 1.39, -3.73),(0.37152, -0.70546, -0.19029, 0.57279)|(5.32, 1.18, -3.54),(-0.26595, 0.83705, 0.41366, -0.23979)|(5.13, 1.01, -3.50),(-0.27488, 0.85249, 0.37424, -0.24008)|
{0.1166731}(5.57, 0.91, -3.97),(-0.26427, 0.34429, -0.21036, -0.87600)|(5.28, 1.40, -3.92),(0.12608, -0.66561, 0.20042, 0.70774)|(5.37, 1.23, -3.90),(0.13767, -0.66080, 0.22959, 0.70120)|(5.24, 1.47, -3.93),(0.08703, -0.61460, 0.15184, 0.76918)|(5.60, 0.91, -4.06),(0.03871, 0.80134, 0.26114, -0.53681)|(5.46, 0.53, -4.23),(-0.11179, 0.24967, 0.07265, -0.95911)|(5.52, 0.15, -4.34),(0.16290, -0.71501, 0.09356, 0.67340)|(5.54, 0.90, -3.89),(0.30592, 0.42891, -0.00465, -0.84995)|(5.41, 0.53, -3.65),(-0.01041, 0.48896, -0.20137, -0.84868)|(5.47, 0.12, -3.57),(0.05365, 0.57240, -0.18505, -0.79702)|(5.31, 1.34, -3.95),(0.14670, -0.60402, 0.28101, 0.73122)|(5.29, 1.31, -4.10),(0.30921, 0.32026, -0.49517, -0.74608)|(5.20, 1.04, -4.15),(0.37932, -0.01982, -0.38379, -0.84168)|(5.02, 0.88, -4.07),(-0.36668, 0.32803, 0.16566, 0.85469)|(5.31, 1.35, -3.89),(-0.16838, 0.59045, -0.27112, -0.74129)|(5.33, 1.39, -3.73),(0.37374, -0.70719, -0.18986, 0.56935)|(5.31, 1.18, -3.55),(-0.27021, 0.83603, 0.41220, -0.24110)|(5.12, 1.01, -3.50),(-0.27935, 0.85279, 0.37168, -0.23784)|
{0.1333231}(5.57, 0.91, -3.97),(-0.26409, 0.34682, -0.21044, -0.87503)|(5.27, 1.40, -3.93),(0.12553, -0.66781, 0.19996, 0.70590)|(5.37, 1.23, -3.90),(0.13822, -0.66266, 0.22980, 0.69926)|(5.24, 1.48, -3.93),(0.08496, -0.61987, 0.14940, 0.76565)|(5.60, 0.91, -4.06),(0.03799, 0.80290, 0.26129, -0.53444)|(5.46, 0.53, -4.23),(-0.11219, 0.25392, 0.07090, -0.95808)|(5.52, 0.15, -4.34),(0.16192, -0.71771, 0.09417, 0.67067)|(5.54, 0.90, -3.89),(0.30388, 0.42977, -0.00548, -0.85025)|(5.41, 0.53, -3.65),(-0.00817, 0.49110, -0.20260, -0.84717)|(5.47, 0.12, -3.57),(0.05475, 0.57293, -0.18619, -0.79629)|(5.30, 1.34, -3.95),(0.14675, -0.60540, 0.28119, 0.72999)|(5.29, 1.31, -4.10),(0.30963, 0.31951, -0.49588, -0.74575)|(5.20, 1.04, -4.15),(0.37931, -0.01888, -0.38489, -0.84121)|(5.02, 0.88, -4.07),(-0.36795, 0.32645, 0.16884, 0.85413)|(5.30, 1.35, -3.89),(-0.16806, 0.59201, -0.27130, -0.74005)|(5.33, 1.39, -3.73),(0.37492, -0.70792, -0.18984, 0.56766)|(5.31, 1.18, -3.55),(-0.27140, 0.83570, 0.41185, -0.24151)|(5.12, 1.01, -3.50),(-0.28167, 0.85314, 0.36990, -0.23663)|
{0.1500014}(5.57, 0.91, -3.97),(-0.26384, 0.35259, -0.21070, -0.87274)|(5.27, 1.40, -3.93),(0.12422, -0.67219, 0.19885, 0.70228)|(5.37, 1.24, -3.91),(0.13917, -0.66637, 0.22992, 0.69550)|(5.23, 1.48, -3.93),(0.08060, -0.63099, 0.14442, 0.75796)|(5.59, 0.92, -4.06),(0.03613, 0.80644, 0.26153, -0.52910)|(5.46, 0.53, -4.23),(-0.11288, 0.26268, 0.06744, -0.95588)|(5.52, 0.15, -4.34),(0.15986, -0.72327, 0.09557, 0.66497)|(5.54, 0.90, -3.89),(0.30007, 0.43266, -0.00732, -0.85012)|(5.41, 0.53, -3.65),(-0.00567, 0.49390, -0.20431, -0.84515)|(5.47, 0.12, -3.57),(0.05645, 0.57370, -0.18797, -0.79520)|(5.30, 1.35, -3.95),(0.14663, -0.60872, 0.28153, 0.72712)|(5.28, 1.31, -4.11),(0.31069, 0.31852, -0.49739, -0.74473)|(5.20, 1.05, -4.15),(0.38066, -0.01480, -0.38813, -0.83919)|(5.02, 0.88, -4.07),(-0.37029, 0.32348, 0.17370, 0.85327)|(5.30, 1.35, -3.89),(-0.16738, 0.59529, -0.27151, -0.73749)|(5.32, 1.39, -3.74),(0.37820, -0.70930, -0.18957, 0.56384)|(5.30, 1.18, -3.55),(-0.27707, 0.83412, 0.41000, -0.24369)|(5.11, 1.00, -3.51),(-0.28606, 0.85398, 0.36615, -0.23416)|
{0.1666685}(5.56, 0.91, -3.97),(-0.26354, 0.35875, -0.21114, -0.87021)|(5.26, 1.40, -3.93),(0.12312, -0.67697, 0.19774, 0.69818)|(5.36, 1.24, -3.91),(0.13985, -0.67063, 0.22969, 0.69133)|(5.23, 1.48, -3.94),(0.07692, -0.64017, 0.14053, 0.75134)|(5.59, 0.92, -4.05),(0.03332, 0.81046, 0.26175, -0.52300)|(5.45, 0.53, -4.23),(-0.11339, 0.27160, 0.06390, -0.95357)|(5.52, 0.15, -4.34),(0.15808, -0.72896, 0.09709, 0.65894)|(5.53, 0.91, -3.89),(0.29724, 0.43720, -0.00935, -0.84877)|(5.41, 0.53, -3.66),(-0.00432, 0.49628, -0.20637, -0.84326)|(5.47, 0.12, -3.57),(0.05815, 0.57477, -0.19090, -0.79361)|(5.29, 1.35, -3.95),(0.14606, -0.61231, 0.28151, 0.72422)|(5.28, 1.31, -4.11),(0.31210, 0.31885, -0.49883, -0.74303)|(5.19, 1.05, -4.15),(0.38286, -0.01022, -0.39100, -0.83692)|(5.01, 0.88, -4.07),(-0.37332, 0.32000, 0.17769, 0.85245)|(5.29, 1.35, -3.89),(-0.16654, 0.59905, -0.27129, -0.73472)|(5.31, 1.39, -3.74),(0.38151, -0.71028, -0.18892, 0.56059)|(5.29, 1.18, -3.55),(-0.28429, 0.83221, 0.40753, -0.24602)|(5.11, 1.00, -3.51),(0.29061, -0.85484, -0.36240, 0.23121)|
{0.1833371}(5.56, 0.91, -3.97),(-0.26335, 0.36268, -0.21146, -0.86856)|(5.26, 1.40, -3.93),(0.12269, -0.67916, 0.19729, 0.69625)|(5.36, 1.24, -3.91),(0.14007, -0.67263, 0.22958, 0.68938)|(5.23, 1.48, -3.94),(0.07546, -0.64364, 0.13908, 0.74879)|(5.58, 0.92, -4.05),(0.03175, 0.81234, 0.26176, -0.52017)|(5.45, 0.53, -4.23),(-0.11344, 0.27524, 0.06253, -0.95261)|(5.51, 0.15, -4.34),(0.15752, -0.73131, 0.09768, 0.65638)|(5.53, 0.91, -3.89),(0.29624, 0.43931, -0.01019, -0.84802)|(5.41, 0.53, -3.66),(-0.00384, 0.49736, -0.20750, -0.84235)|(5.47, 0.12, -3.57),(0.05900, 0.57530, -0.19245, -0.79279)|(5.29, 1.35, -3.95),(0.14567, -0.61428, 0.28136, 0.72268)|(5.28, 1.31, -4.11),(0.31295, 0.31949, -0.49949, -0.74195)|(5.19, 1.05, -4.15),(0.38428, -0.00753, -0.39250, -0.83560)|(5.01, 0.88, -4.07),(-0.37479, 0.31840, 0.17876, 0.85218)|(5.29, 1.35, -3.89),(-0.16608, 0.60099, -0.27109, -0.73330)|(5.31, 1.39, -3.74),(0.38330, -0.71074, -0.18837, 0.55897)|(5.29, 1.18, -3.56),(-0.28871, 0.83109, 0.40600, -0.24717)|(5.10, 1.00, -3.51),(0.29229, -0.85508, -0.36124, 0.23001)|
{0.1999871}(5.55, 0.91, -3.97),(-0.26313, 0.36891, -0.21201, -0.86586)|(5.25, 1.40, -3.93),(0.12168, -0.68393, 0.19648, 0.69198)|(5.35, 1.24, -3.91),(0.14058, -0.67697, 0.22939, 0.68508)|(5.22, 1.48, -3.94),(0.07200, -0.65079, 0.13630, 0.74345)|(5.58, 0.92, -4.05),(0.02858, 0.81634, 0.26126, -0.51430)|(5.45, 0.53, -4.23),(-0.11351, 0.28252, 0.06012, -0.95062)|(5.51, 0.15, -4.34),(0.15672, -0.73606, 0.09900, 0.65104)|(5.53, 0.91, -3.89),(0.29234, 0.44455, -0.01210, -0.84662)|(5.40, 0.53, -3.66),(-0.00267, 0.49953, -0.20978, -0.84051)|(5.47, 0.12, -3.57),(0.06132, 0.57665, -0.19631, -0.79068)|(5.28, 1.35, -3.95),(0.14503, -0.61792, 0.28096, 0.71986)|(5.27, 1.31, -4.11),(0.31481, 0.32159, -0.50070, -0.73944)|(5.19, 1.05, -4.15),(0.38636, -0.00414, -0.39379, -0.83405)|(5.01, 0.88, -4.07),(-0.37820, 0.31449, 0.18057, 0.85174)|(5.28, 1.35, -3.90),(-0.16506, 0.60526, -0.27061, -0.73019)|(5.30, 1.39, -3.74),(0.38593, -0.71157, -0.18711, 0.55652)|(5.28, 1.17, -3.56),(-0.29416, 0.83012, 0.40404, -0.24723)|(5.10, 1.00, -3.51),(0.29698, -0.85561, -0.35852, 0.22626)|
