{0}(6.10, 0.90, -3.83),(0.17809, -0.80504, 0.19078, 0.53273)|(5.84, 1.41, -3.95),(0.12470, -0.88956, 0.19784, 0.39243)|(5.92, 1.24, -3.90),(-0.13675, 0.88380, -0.22047, -0.38934)|(5.81, 1.48, -3.97),(-0.08440, 0.85296, -0.16089, -0.48933)|(6.06, 0.90, -3.90),(-0.12093, 0.86167, 0.29131, -0.39755)|(6.04, 0.54, -4.16),(-0.19349, 0.75897, 0.01867, -0.62143)|(6.08, 0.14, -4.25),(0.17600, -0.82713, 0.05744, 0.53063)|(6.14, 0.91, -3.75),(-0.16779, -0.87200, -0.19566, 0.41615)|(5.94, 0.52, -3.85),(-0.09621, -0.93459, 0.12595, 0.31847)|(5.97, 0.13, -3.75),(0.07496, 0.87890, -0.14427, -0.44844)|(5.88, 1.36, -3.96),(-0.11798, 0.86029, -0.25234, -0.42697)|(5.98, 1.36, -4.08),(-0.31621, -0.65261, 0.25590, 0.63924)|(5.98, 1.15, -4.27),(-0.36189, -0.36617, 0.19835, 0.83404)|(5.81, 0.99, -4.39),(0.30462, 0.23053, 0.00498, -0.92414)|(5.84, 1.35, -3.91),(0.15501, -0.84788, 0.25379, 0.43893)|(5.75, 1.35, -3.78),(-0.43782, 0.87612, 0.10768, -0.17068)|(5.60, 1.12, -3.72),(0.37450, -0.84913, -0.31855, -0.19303)|(5.43, 0.99, -3.87),(0.28391, -0.81964, -0.40075, -0.29494)|
{0.0166699}(6.10, 0.90, -3.83),(0.17757, -0.79968, 0.18883, 0.54160)|(5.84, 1.41, -3.95),(0.12348, -0.88711, 0.19409, 0.40014)|(5.92, 1.24, -3.89),(-0.13639, 0.88111, -0.21802, -0.39687)|(5.81, 1.49, -3.96),(-0.08126, 0.84730, -0.15461, -0.50157)|(6.07, 0.90, -3.90),(-0.11638, 0.85715, 0.29105, -0.40870)|(6.04, 0.54, -4.16),(-0.18972, 0.75636, 0.01900, -0.62575)|(6.08, 0.14, -4.25),(0.17564, -0.82889, 0.05794, 0.52795)|(6.14, 0.91, -3.75),(-0.16895, -0.86875, -0.19190, 0.42416)|(5.94, 0.52, -3.84),(-0.09355, -0.93638, 0.12312, 0.31509)|(5.97, 0.13, -3.75),(0.07162, 0.88220, -0.14028, -0.44374)|(5.89, 1.36, -3.95),(-0.11840, 0.85655, -0.25068, -0.43528)|(5.98, 1.36, -4.08),(-0.31533, -0.64748, 0.25768, 0.64416)|(5.98, 1.15, -4.27),(-0.36049, -0.36058, 0.20166, 0.83628)|(5.80, 0.99, -4.39),(0.30375, 0.22448, 0.00058, -0.92593)|(5.85, 1.36, -3.91),(0.15469, -0.84454, 0.25253, 0.44616)|(5.76, 1.35, -3.77),(-0.43537, 0.87535, 0.11100, -0.17858)|(5.61, 1.13, -3.71),(0.37213, -0.85176, -0.31966, -0.18396)|(5.43, 0.99, -3.86),(0.28099, -0.82288, -0.40144, -0.28769)|
{0.0833348}(6.11, 0.91, -3.83),(0.17737, -0.79636, 0.18884, 0.54653)|(5.85, 1.41, -3.94),(0.12248, -0.88577, 0.19205, 0.40439)|(5.93, 1.24, -3.89),(-0.13625, 0.87961, -0.21638, -0.40112)|(5.82, 1.49, -3.96),(-0.07870, 0.84461, -0.15159, -0.50740)|(6.07, 0.90, -3.90),(-0.11368, 0.85624, 0.28985, -0.41222)|(6.04, 0.54, -4.16),(-0.18836, 0.75473, 0.01895, -0.62812)|(6.08, 0.14, -4.24),(0.17569, -0.82954, 0.05797, 0.52691)|(6.14, 0.91, -3.75),(-0.17048, -0.86711, -0.19033, 0.42758)|(5.94, 0.52, -3.84),(-0.09216, -0.93708, 0.12186, 0.31392)|(5.97, 0.13, -3.74),(0.06944, 0.88358, -0.13845, -0.44192)|(5.89, 1.36, -3.95),(-0.11873, 0.85472, -0.24989, -0.43921)|(5.98, 1.36, -4.08),(-0.31479, -0.64435, 0.25900, 0.64703)|(5.97, 1.15, -4.27),(-0.36021, -0.35808, 0.20360, 0.83701)|(5.80, 1.00, -4.39),(0.30356, 0.22144, -0.00183, -0.92672)|(5.85, 1.36, -3.91),(0.15497, -0.84187, 0.25149, 0.45166)|(5.76, 1.35, -3.77),(-0.43403, 0.87485, 0.11292, -0.18306)|(5.61, 1.13, -3.71),(0.37156, -0.85304, -0.31998, -0.17852)|(5.44, 0.99, -3.85),(0.27956, -0.82486, -0.40156, -0.28319)|
{0.1000059}(6.11, 0.91, -3.83),(0.17728, -0.79435, 0.18902, 0.54941)|(5.85, 1.41, -3.94),(0.12199, -0.88521, 0.19116, 0.40617)|(5.93, 1.24, -3.89),(-0.13620, 0.87897, -0.21574, -0.40290)|(5.82, 1.49, -3.96),(-0.07735, 0.84323, -0.15009, -0.51034)|(6.07, 0.90, -3.90),(-0.11278, 0.85594, 0.28945, -0.41336)|(6.04, 0.54, -4.16),(-0.18771, 0.75358, 0.01876, -0.62971)|(6.08, 0.14, -4.24),(0.17584, -0.82982, 0.05794, 0.52642)|(6.14, 0.91, -3.75),(-0.17160, -0.86626, -0.18995, 0.42903)|(5.94, 0.52, -3.84),(-0.09144, -0.93712, 0.12157, 0.31410)|(5.97, 0.13, -3.74),(0.06829, 0.88414, -0.13776, -0.44120)|(5.89, 1.36, -3.95),(-0.11901, 0.85348, -0.24957, -0.44173)|(5.98, 1.36, -4.08),(-0.31462, -0.64325, 0.25956, 0.64797)|(5.97, 1.15, -4.27),(-0.36020, -0.35711, 0.20437, 0.83723)|(5.80, 1.00, -4.38),(0.30364, 0.21967, -0.00320, -0.92711)|(5.85, 1.36, -3.90),(0.15522, -0.84051, 0.25110, 0.45432)|(5.77, 1.35, -3.77),(-0.43343, 0.87452, 0.11385, -0.18544)|(5.61, 1.13, -3.71),(0.37130, -0.85384, -0.32012, -0.17496)|(5.44, 0.99, -3.85),(0.27878, -0.82595, -0.40160, -0.28071)|
{0.116674}(6.11, 0.91, -3.83),(0.17717, -0.79179, 0.18924, 0.55305)|(5.85, 1.41, -3.94),(0.12098, -0.88285, 0.18938, 0.41241)|(5.93, 1.25, -3.89),(-0.13623, 0.87641, -0.21436, -0.40914)|(5.82, 1.49, -3.96),(-0.07472, 0.84041, -0.14707, -0.51624)|(6.07, 0.91, -3.90),(-0.11023, 0.85405, 0.28808, -0.41888)|(6.04, 0.54, -4.16),(-0.18637, 0.75056, 0.01828, -0.63371)|(6.08, 0.14, -4.24),(0.17631, -0.83027, 0.05779, 0.52557)|(6.14, 0.91, -3.75),(-0.17376, -0.86408, -0.18904, 0.43294)|(5.94, 0.52, -3.84),(-0.09062, -0.93696, 0.12083, 0.31510)|(5.97, 0.13, -3.74),(0.06619, 0.88494, -0.13658, -0.44027)|(5.89, 1.36, -3.95),(-0.11961, 0.85075, -0.24915, -0.44705)|(5.98, 1.36, -4.08),(-0.31422, -0.64098, 0.26091, 0.64987)|(5.97, 1.15, -4.27),(-0.36082, -0.35413, 0.20664, 0.83767)|(5.80, 1.00, -4.38),(0.30440, 0.21646, -0.00550, -0.92761)|(5.86, 1.36, -3.90),(0.15575, -0.83762, 0.25041, 0.45982)|(5.77, 1.36, -3.77),(-0.43232, 0.87355, 0.11564, -0.19138)|(5.62, 1.13, -3.70),(0.37086, -0.85535, -0.32034, -0.16800)|(5.44, 0.99, -3.84),(0.27687, -0.82857, -0.40166, -0.27473)|
{0.133324}(6.11, 0.91, -3.83),(0.17705, -0.78870, 0.18830, 0.55781)|(5.85, 1.41, -3.94),(0.12053, -0.88145, 0.18856, 0.41589)|(5.93, 1.25, -3.89),(-0.13625, 0.87493, -0.21373, -0.41261)|(5.82, 1.49, -3.96),(-0.07360, 0.83892, -0.14564, -0.51921)|(6.07, 0.91, -3.91),(-0.10940, 0.85331, 0.28759, -0.42093)|(6.04, 0.54, -4.16),(-0.18553, 0.74847, 0.01788, -0.63643)|(6.08, 0.14, -4.24),(0.17659, -0.83042, 0.05761, 0.52526)|(6.14, 0.91, -3.75),(-0.17454, -0.86276, -0.18806, 0.43568)|(5.94, 0.52, -3.84),(-0.09060, -0.93678, 0.12034, 0.31585)|(5.97, 0.13, -3.74),(0.06520, 0.88521, -0.13583, -0.44011)|(5.89, 1.37, -3.95),(-0.11986, 0.84927, -0.24899, -0.44987)|(5.98, 1.36, -4.08),(-0.31397, -0.64003, 0.26158, 0.65066)|(5.97, 1.15, -4.27),(-0.36115, -0.35288, 0.20759, 0.83783)|(5.80, 1.00, -4.38),(0.30506, 0.21439, -0.00687, -0.92786)|(5.86, 1.36, -3.90),(0.15593, -0.83633, 0.25015, 0.46225)|(5.77, 1.36, -3.77),(-0.43183, 0.87302, 0.11639, -0.19444)|(5.62, 1.13, -3.70),(0.37064, -0.85622, -0.32042, -0.16382)|(5.44, 1.00, -3.83),(0.27567, -0.83016, -0.40170, -0.27108)|
{0.1500052}(6.11, 0.91, -3.83),(0.17717, -0.78416, 0.18617, 0.56485)|(5.85, 1.42, -3.94),(0.11982, -0.87869, 0.18720, 0.42250)|(5.93, 1.25, -3.89),(-0.13626, 0.87205, -0.21265, -0.41921)|(5.82, 1.49, -3.96),(-0.07194, 0.83621, -0.14334, -0.52444)|(6.08, 0.91, -3.91),(-0.10661, 0.85024, 0.28514, -0.42944)|(6.04, 0.54, -4.16),(-0.18408, 0.74480, 0.01722, -0.64116)|(6.08, 0.14, -4.24),(0.17707, -0.83055, 0.05727, 0.52493)|(6.14, 0.91, -3.76),(-0.17573, -0.86007, -0.18518, 0.44171)|(5.95, 0.52, -3.83),(-0.09097, -0.93637, 0.11945, 0.31729)|(5.97, 0.13, -3.74),(0.06378, 0.88544, -0.13468, -0.44022)|(5.89, 1.37, -3.95),(-0.12008, 0.84674, -0.24861, -0.45476)|(5.98, 1.36, -4.08),(-0.31325, -0.63809, 0.26297, 0.65235)|(5.97, 1.16, -4.27),(-0.36156, -0.34960, 0.21004, 0.83841)|(5.80, 1.00, -4.38),(0.30646, 0.21108, -0.00889, -0.92814)|(5.86, 1.36, -3.90),(0.15602, -0.83378, 0.24939, 0.46720)|(5.78, 1.36, -3.76),(-0.43085, 0.87204, 0.11766, -0.20018)|(5.62, 1.14, -3.69),(0.37021, -0.85778, -0.32049, -0.15634)|(5.45, 1.00, -3.83),(0.27314, -0.83344, -0.40175, -0.26337)|
{0.1666552}(6.11, 0.91, -3.84),(0.17769, -0.77748, 0.18439, 0.57442)|(5.85, 1.42, -3.94),(0.11927, -0.87683, 0.18585, 0.42709)|(5.93, 1.25, -3.89),(-0.13613, 0.87012, -0.21171, -0.42373)|(5.82, 1.50, -3.95),(-0.07051, 0.83295, -0.14111, -0.53039)|(6.08, 0.91, -3.91),(-0.10518, 0.84791, 0.28312, -0.43569)|(6.04, 0.54, -4.16),(-0.18275, 0.74162, 0.01667, -0.64523)|(6.08, 0.14, -4.24),(0.17729, -0.83039, 0.05696, 0.52514)|(6.15, 0.91, -3.76),(-0.17706, -0.85800, -0.18179, 0.44658)|(5.95, 0.52, -3.83),(-0.09128, -0.93583, 0.11935, 0.31881)|(5.97, 0.13, -3.74),(0.06302, 0.88544, -0.13403, -0.44053)|(5.90, 1.37, -3.95),(-0.12002, 0.84427, -0.24799, -0.45968)|(5.98, 1.36, -4.08),(-0.31237, -0.63598, 0.26413, 0.65436)|(5.97, 1.16, -4.27),(-0.36140, -0.34743, 0.21147, 0.83902)|(5.80, 1.00, -4.38),(0.30852, 0.20815, -0.01054, -0.92811)|(5.86, 1.37, -3.90),(0.15583, -0.83127, 0.24842, 0.47222)|(5.78, 1.36, -3.76),(-0.43028, 0.87162, 0.11822, -0.20289)|(5.63, 1.14, -3.69),(0.36966, -0.85935, -0.32055, -0.14873)|(5.45, 1.00, -3.82),(0.27065, -0.83675, -0.40170, -0.25543)|
{0.1833402}(6.11, 0.91, -3.84),(0.17794, -0.77544, 0.18445, 0.57706)|(5.85, 1.42, -3.94),(0.11909, -0.87582, 0.18526, 0.42947)|(5.93, 1.25, -3.89),(-0.13607, 0.86910, -0.21119, -0.42609)|(5.83, 1.50, -3.95),(-0.07015, 0.83154, -0.14036, -0.53283)|(6.08, 0.91, -3.91),(-0.10432, 0.84636, 0.28183, -0.43972)|(6.04, 0.54, -4.16),(-0.18210, 0.74035, 0.01652, -0.64688)|(6.08, 0.14, -4.24),(0.17728, -0.83020, 0.05693, 0.52546)|(6.15, 0.91, -3.76),(-0.17776, -0.85737, -0.18004, 0.44822)|(5.95, 0.52, -3.83),(-0.09144, -0.93558, 0.11963, 0.31939)|(5.97, 0.13, -3.74),(0.06303, 0.88528, -0.13407, -0.44083)|(5.90, 1.37, -3.95),(-0.12000, 0.84306, -0.24767, -0.46207)|(5.98, 1.36, -4.08),(-0.31196, -0.63484, 0.26455, 0.65549)|(5.97, 1.16, -4.27),(-0.36129, -0.34608, 0.21216, 0.83946)|(5.79, 1.00, -4.38),(0.30966, 0.20700, -0.01105, -0.92798)|(5.86, 1.37, -3.90),(0.15569, -0.83004, 0.24793, 0.47469)|(5.78, 1.36, -3.76),(-0.43014, 0.87154, 0.11835, -0.20344)|(5.63, 1.14, -3.69),(0.36930, -0.86014, -0.32058, -0.14492)|(5.45, 1.00, -3.81),(0.26966, -0.83812, -0.40164, -0.25205)|
{0.2000315}(6.12, 0.91, -3.84),(0.17808, -0.77161, 0.18447, 0.58212)|(5.86, 1.42, -3.94),(0.11891, -0.87386, 0.18420, 0.43394)|(5.94, 1.25, -3.89),(-0.13595, 0.86716, -0.21023, -0.43052)|(5.83, 1.50, -3.95),(-0.06983, 0.82860, -0.13913, -0.53776)|(6.08, 0.91, -3.91),(-0.10374, 0.84490, 0.28073, -0.44336)|(6.04, 0.54, -4.16),(-0.18083, 0.73794, 0.01620, -0.64998)|(6.08, 0.14, -4.24),(0.17699, -0.82958, 0.05701, 0.52653)|(6.15, 0.91, -3.76),(-0.17892, -0.85664, -0.17633, 0.45062)|(5.95, 0.52, -3.83),(-0.09189, -0.93498, 0.12050, 0.32069)|(5.97, 0.13, -3.74),(0.06328, 0.88482, -0.13448, -0.44159)|(5.90, 1.37, -3.95),(-0.12002, 0.84042, -0.24714, -0.46713)|(5.98, 1.37, -4.08),(-0.31131, -0.63242, 0.26509, 0.65792)|(5.97, 1.16, -4.27),(-0.36114, -0.34421, 0.21259, 0.84018)|(5.79, 1.00, -4.38),(0.31208, 0.20487, -0.01143, -0.92764)|(5.86, 1.37, -3.90),(0.15536, -0.82760, 0.24721, 0.47940)|(5.78, 1.36, -3.76),(-0.43014, 0.87154, 0.11835, -0.20344)|(5.63, 1.14, -3.68),(0.36854, -0.86155, -0.32068, -0.13808)|(5.45, 1.00, -3.81),(0.26777, -0.84081, -0.40147, -0.24526)|
